Day,Module (what you build),Format,Teaching Step (specific),What I Did (light personal proof),Verbal Hook,On-Screen Text,Caption Hook,CTA,Purpose
1,M1 Your first WEBSITE,Talking head + screen,"What Claude Code is and what you'll build in 30 days","When I started I had no idea what this even was.","In 30 days you'll build a website, a funnel, and a real app.","Website, funnel, app — in 30 days","Day 1 of learning Claude Code from zero.",Follow — we build together,Growth
2,M1 Your first WEBSITE,Screen-record,"What you need first: Anthropic account + a plan","I grabbed the Pro plan and never looked back.","Before you build anything, you need these two things.","Step 0: before you install","The 2 things to set up before Claude Code.",Save this checklist,Authority
3,M1 Your first WEBSITE,Screen-record,Install Claude Code (terminal + one command),"This exact command is how I started.","Here's exactly how to install it in under two minutes.","Install in under 2 minutes","Copy-paste install, step by step.",Save for when you install,Authority
4,M1 Your first WEBSITE,Screen-record,Open terminal and start Claude in a folder,"That black screen scared me at first.","Two commands and Claude is running on your computer.","cd + claude = you're in","How to actually start Claude Code.",Save this,Authority
5,M1 Your first WEBSITE,Screen-record,How to talk to it: describe your site in plain English,"This is the paragraph I used to build my website.","Tell it your goal, not step-by-step instructions.","Say the goal, not the steps","How to describe a website so it actually builds it.",Save this prompt tip,Authority
6,M1 Your first WEBSITE,Screen-record demo,"Build your website live, just by describing it","My very first build was my own personal website.","Watch a full website appear from one paragraph.","Your first build, no code","A real website from plain English — start to finish.",Share with someone who needs a site,Authority/Shares
7,M1 Your first WEBSITE,Screen-record,Put your website online for free (deploy),"This is how my website went live for the world.","Your site is useless until it's online — here's the fix.","Laptop to live link","Step-by-step: get your website a real link.",Save for launch day,Authority
8,M2 A FUNNEL that collects emails,Talking head + screen,What a funnel is and why you'd build one,"My funnel grows my email list while I sleep.","A funnel is just a page that turns visitors into leads.","Build a page that collects emails","Day 8: we build a funnel that grows a list.",Follow for the build,Growth
9,M2 A FUNNEL that collects emails,Screen-record,/init and CLAUDE.md — teach Claude your funnel,"I run /init on every project I build.","Run this one command so Claude understands your project.","The /init command","The setup step that makes everything after easier.",Save before your next build,Authority
10,M2 A FUNNEL that collects emails,Screen-record,Plan Mode — plan your landing page before building,"I plan every page before a single line is written.","Make Claude show its plan before it changes anything.","Plan before it builds","See the whole landing page plan before it's built.",Save this,Authority
11,M2 A FUNNEL that collects emails,Screen-record,Build the opt-in form + connect it,"This is the exact form on my funnel.","Let's add an email form and make it actually capture.","Add a working opt-in form","How to collect real emails from your page.",Comment 'funnel' for the steps,Authority/Comments
12,M2 A FUNNEL that collects emails,Screen-record,Review the diff as it builds your page,"I always read the diff before accepting.","Watch how it edits files and how to check it.","Always check the diff","What 'accept' means before you click it.",Save this,Authority
13,M2 A FUNNEL that collects emails,Screen-record,Preview your funnel + fix what looks off,"I tweak my pages just by describing changes.","Preview your page and fix it in plain words.","See it, then fix it by talking","No design skills? Just describe the change.",Save this,Authority
14,M2 A FUNNEL that collects emails,Screen-record,Fix errors while building (paste the error),"Every project I built had errors I fixed this way.","Hit an error? Just paste it back. Here's how.","Errors = copy, paste, fixed","The 3-second fix for scary error messages.",Save for your first error,Authority
15,M3 A real APP,Talking head + screen,Pick an app idea from everyday life,"My calorie app started as a problem I had daily.","The best first app solves a problem in your own day.","Turn a daily problem into an app","Day 15: we build a real app from scratch.",Comment your app idea,Growth/Comments
16,M3 A real APP,Screen-record,Define the smallest version that still works (MVP),"I cut my app down to one core feature first.","Don't build everything — build the smallest useful version.","Build small first","The mistake that kills most first apps.",Save this,Authority
17,M3 A real APP,Screen-record,Build your first real feature step by step,"This is how I built my calorie tracker's core.","Add your app's main feature without breaking things.","One feature at a time","The safe way to grow an app, step by step.",Save this,Authority
18,M3 A real APP,Screen-record,Design it with a screenshot,"I copied a health app's look for my tracker.","Paste a screenshot and watch it match the design.","Screenshot to real design","The design trick that needs zero skill.",Save this hack,Authority/Shares
19,M3 A real APP,Screen-record,Make it work on phones (responsive),"Every app I build is mobile-first.","One request makes your app work on phones.","Make it work on phones","Don't skip this — most users are on mobile.",Save this,Authority
20,M3 A real APP,Screen-record,Save your work with git (save points),"This is how I never lose work on my apps.","Never lose your work — without learning git.","Save points for your project","How to 'save' so you can always undo.",Save this,Authority
21,M3 A real APP,Screen-record,Add tests so it proves it works,"I added tests to my app this way.","Ask it to prove your app works — automatically.","Make it test itself","Stop new changes from breaking old ones.",Save this,Authority
22,M3 A real APP,Screen-record,Slash commands that speed you up,"I use these commands every single day.","Type a slash and unlock shortcuts you'll use daily.","Type / for shortcuts","The built-in commands worth knowing early.",Save this list,Authority
23,M4 Ship & grow,Screen-record demo,Deploy your app online for free,"This is how all my apps go live.","Let's put your app on the internet for free.","Laptop to live link","Step-by-step deploy so anyone can use your app.",Save for launch day,Authority
24,M4 Ship & grow,Screen-record,Get your own link (custom domain),"My projects each have their own clean link.","Get your own link instead of a long ugly one.","Get your own web address","Turn that random URL into yourname.com.",Save this,Authority
25,M4 Ship & grow,Screen-record,Debug a real bug start to finish,"A real user found a bug in my app.","A real user hit a bug — here's how I fixed it fast.","Fixing a real bug live","Watch the full debug, start to fix.",Save this approach,Authority
26,M4 Ship & grow,Screen-record,Write your README and docs in one prompt,"Claude wrote the docs for all my projects.","Generate your project's docs in 30 seconds.","Docs in 30 seconds","The boring step, done in one prompt.",Save this,Authority
27,M4 Ship & grow,Screen-record,Custom slash commands (reusable prompts),"I made custom commands for the content I post.","Turn repeated prompts into one-word commands.","Make your own shortcuts","Save the prompts you use over and over.",Save this,Authority
28,M4 Ship & grow,Talking head + screen,Turn what you built into something you can sell,"This is how a small app becomes income.","Here's how a free build becomes something you sell.","From build to income","The steps from a project to a product.",Comment 'sell' for the breakdown,Conversion
29,M4 Ship & grow,Screen-record demo,Build a small project start to finish (recap),"This is the exact process behind everything I built.","Let's build one project from zero using everything so far.","Zero to shipped, full run","Website, funnel, app — the whole method in one build.",Save the whole series,Authority/Growth
30,M4 Ship & grow,Talking head + screen,Your roadmap — what to build next,"Here's what I'm building next, too.","You can build websites, funnels and apps now — here's what's next.","Your next 30 days","Finished the series? Here's your roadmap.",Comment 'NEXT' for the guide,Growth/Conversion
